Symbol,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
HLTF,8.54555,8.76263,8.135101,7.336875,8.431253,8.538515,8.443103,7.994253,8.440159,7.95957,7.984163,7.753216,7.72571,7.719033,7.938605,11.54601968,10.36140022,11.38562583,11.46624204,10.33034537,9.24821963,8.080829886,11.59333515,9.617518074,10.72487037,10.46219003,7.315349471,10.75095022,10.76060524,9.046561596,10.00413287,10.69639056,10.55551684,7.754217,6.908562,6.684014,6.808817,7.618608,7.145498,6.533284,7.008978,6.724475,6.906498,6.754583,9.297594505,9.142532935,8.637266238,9.939872342,9.30028933,7.102200499,8.285949255,7.824445735,8.178878057,7.584254363,8.957781238,9.678109649,7.403573909
FNBP1L,9.60768,9.840049,10.01069,9.408082,10.024302,9.662083,9.594706,9.325903,9.915457,9.505484,10.08012,10.054118,9.421232,10.553494,10.045688,9.971294292,9.131418819,9.483111868,9.412691415,7.345985168,7.004091409,6.268066017,11.29836315,6.788779236,8.52870276,8.232750933,4.54376098,8.931822433,8.576473292,5.558594418,8.681710825,9.451566252,8.935782667,9.305436,8.321662,7.98909,8.199161,9.305251,8.572752,7.949326,8.761215,8.080931,8.886042,8.033269,6.967275811,6.619057401,7.494563899,7.623892777,6.660002262,5.1105104,6.045031889,4.631066905,6.151255908,5.058268676,6.340680274,6.929359352,3.547909573
FMO5,9.529894,10.779666,10.831442,9.894057,11.500858,10.041434,10.344097,9.320187,8.628145,8.590461,11.510555,11.116119,9.555318,11.010721,11.955567,10.70232041,8.104549586,8.34843815,9.334208528,8.243296864,10.39971545,10.16638424,12.1709373,9.668921391,11.7714397,9.961445088,8.987542378,9.522669501,11.25451449,8.447932775,10.51996966,10.93173449,10.60098559,9.89977,9.062172,8.307739,8.651707,9.362255,9.274594,8.903762,9.392401,8.558534,10.098254,8.140152,8.210998547,6.685682111,9.1702865,6.854147362,6.548218336,9.618378542,8.204672496,11.55694323,7.784866497,10.25150646,9.259079629,9.586306313,6.906254735
EPHA4,9.276647,8.910122,8.95638,9.687165,8.835431,9.983308,8.935082,8.368511,9.193804,9.658263,9.257196,8.683635,8.6265,8.60492,9.284145,11.92674087,10.59571577,11.51863409,11.1133532,10.74523869,9.203358909,8.865705641,11.31372356,10.38237047,11.2620618,11.22807561,8.530915284,11.40267831,11.22217038,10.68426447,10.70171119,10.8737035,10.90112315,8.120457,7.952267,8.143442,7.490231,8.105017,8.304504,7.583213,8.070996,7.563556,8.657194,7.917059,9.556108629,9.703691764,10.14678892,9.935861422,10.23486077,9.208370142,10.18137604,8.871349709,9.44465682,9.636456042,9.312691599,10.50247935,8.72921579
EHF,10.220896,10.112751,10.272958,10.818651,10.311848,8.808141,9.758593,9.207997,10.363295,10.139598,10.060997,10.015313,9.701533,9.965296,9.91968,10.86692954,9.343331126,9.89511477,10.98388618,10.30041979,9.365995169,8.095660992,11.38051321,8.588039,10.56432963,9.436721847,6.415089816,10.33452932,10.35200265,8.902415668,10.07079449,9.924141141,9.905736459,9.294567,8.730574,8.726019,8.089072,9.220842,9.218044,8.445738,9.388885,8.842534,8.673054,8.370473,8.158831393,7.533335358,9.167319266,6.810461502,8.237920815,7.405797541,8.495531498,6.977890897,7.150085659,7.080026129,8.647889503,9.725917958,7.273891452
DDX52,9.159064,9.030782,8.897837,9.328437,9.13222,8.893037,9.009723,9.092896,9.478941,8.999053,8.946382,8.769073,8.645243,8.628133,8.679325,10.34884605,10.18866673,10.81457048,10.76478201,9.549341193,9.349849526,9.00946,10.79205286,8.610782726,9.90449154,10.01820598,8.367925516,9.753826697,10.47939414,8.417058976,10.19655511,10.28021906,10.21378127,7.997868,7.533507,7.72487,7.855118,8.534309,8.035862,7.379603,8.383804,7.58187,8.148558,7.25506,8.981532416,8.655644529,8.506704166,9.574295121,8.912231112,8.251123554,8.596622146,8.964356374,8.619352825,8.673967587,9.159702631,8.957451983,8.46993186
CEP290,7.220174,7.526921,7.030131,6.604858,7.230572,7.108823,6.942608,6.888759,7.220459,6.754882,6.769602,6.676813,6.368802,6.78714,6.627848,3.856724226,7.300455159,7.001538311,6.999024018,5.332917501,3.438979746,2.361507439,6.378532395,3.115708513,3.027058746,4.117951413,2.506545724,3.894142298,4.421796184,1.791778592,6.158113825,6.708204926,6.563877776,6.353761,5.719102,5.518952,5.561911,6.435038,5.687421,5.478823,5.807699,5.640424,5.85352,5.516114,2.727859129,2.595321352,3.230802868,4.663701037,5.036857832,3.158337956,3.48894547,3.015601362,3.756127961,2.24178157,3.736077018,4.230440858,2.551061851
CA1,7.23395,8.096856,7.321374,6.841386,9.674083,8.483345,7.50105,8.133471,8.897998,7.581036,7.289125,7.697774,8.197915,8.516313,8.31808,7.396441543,7.602085385,9.979127568,5.774827943,8.686902477,6.210834552,9.137635805,6.777549966,6.866804356,11.25460537,5.929476956,6.762651147,7.404059932,8.526662737,7.656112782,6.425419549,5.454689604,7.845782362,6.809547,6.770546,6.923458,7.185375,7.357555,6.876738,6.521042,6.542761,6.302071,6.155766,6.699725,5.69149996,5.877338184,5.359729086,4.949152912,3.811186554,5.596373313,6.10161041,5.580185271,5.388406238,7.554450387,3.799462049,5.605838193,6.251675842
BRCC3,9.230064,9.150416,8.515323,8.524077,8.950453,8.483863,8.883304,8.666342,9.622834,8.806665,8.499674,8.739857,8.792865,8.850677,8.690242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.603254,7.220799,7.025997,7.225263,8.181198,7.863439,6.979167,7.593515,7.576488,7.655552,7.02378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASPM,6.477276,6.70675,5.265932,5.408094,6.311929,5.001656,5.449028,5.766095,7.709019,5.687087,5.361172,4.958978,4.814484,5.933729,5.515836,6.324147351,6.956829087,7.173539738,7.887527609,5.667666097,4.949182918,3.225429259,8.623871517,5.325637075,6.41087909,3.852723455,2.55466269,6.486930323,6.605958518,5.371982194,7.164215116,6.252034195,5.58927002,4.644991,4.884893,4.592377,4.791241,4.826885,4.909683,4.460582,4.649501,4.591181,5.039267,4.770079,2.849815487,3.544648525,3.416769212,3.854183387,4.255005852,2.293937257,2.483871332,2.840005593,2.966000014,2.980768699,5.509442152,2.678834007,4.488020865
ASCC3,9.096204,8.745488,8.489501,8.356531,8.918831,8.600611,9.135498,9.057085,9.3505,8.791695,8.672478,8.858645,8.452584,8.805677,8.571889,9.73545847,9.578260908,9.870484139,10.16138728,9.245854287,7.819643164,7.110143818,11.24242755,7.919214897,9.029073838,8.843495848,5.560864233,9.932960655,9.352751121,7.223416484,9.889435974,9.324571925,9.123423853,8.231801,7.287439,6.934293,7.507505,8.248816,7.780717,7.055245,7.797071,7.386492,7.695137,7.06639,8.260371734,8.316448021,8.392997493,7.959081129,7.754359728,6.108953251,8.420722416,6.142001775,7.764838427,6.320047361,7.280374185,8.014913277,6.135245902
ANKRD50,9.390729,9.40389,9.345581,8.998678,9.481679,8.851633,9.211072,9.225097,9.296475,9.403206,9.175523,8.443357,8.72043,8.880895,8.44796,8.82462387,8.484754885,9.498060386,8.450292566,5.851321587,6.941664269,6.750988973,8.06485185,6.297837984,7.381095145,7.66915524,5.429478056,7.451214965,7.734460761,6.048006661,7.461744742,8.698621935,7.815786436,8.58299,7.775657,7.982065,7.81987,8.703441,8.065319,7.114379,7.845644,7.573592,8.222096,7.875966,5.959534386,6.299702012,6.657901046,8.006272579,5.610581646,5.697432767,5.636460218,6.143847753,5.985389094,5.173890622,7.087104008,5.021647047,5.668154139
ALAS2,7.568344,9.092257,8.105356,7.743996,9.920321,9.228529,7.64975,9.358183,8.567618,8.212306,7.780567,8.66836,8.104855,8.195925,8.214354,12.68726627,11.05525429,12.92189911,9.074739535,13.03419571,9.99633983,13.03438879,10.26319905,10.36275342,14.00466976,10.25676616,11.48254075,12.6642475,10.23511879,7.934529284,9.998112183,10.28238299,9.975320072,7.012877,7.489854,7.283526,7.508658,8.063468,7.317032,7.191544,7.161062,7.378619,6.72791,7.281901,10.39844298,9.449904293,10.23441306,9.311363454,5.633359006,8.443723109,10.96210959,8.380755713,8.473293057,9.654556237,2.868163479,9.585248348,9.515688686
ACE2,7.577048,6.817201,7.533175,6.598338,6.826295,7.335678,7.032631,6.941051,6.863818,6.866484,7.383216,8.043572,7.325876,7.277538,7.430229,7.408922996,7.780754638,7.879447985,8.425459727,6.92699813,8.388426465,8.491555325,6.834478408,9.006238367,10.08553771,8.961216367,8.685535424,7.36862079,8.12533736,8.523489606,7.26843967,8.579094927,7.811122985,6.601839,5.508724,5.828324,6.05492,6.454848,6.327487,6.144442,6.278807,5.792105,6.272765,6.125635,6.915210786,6.92515323,7.652375324,4.476255874,6.428059159,7.277434197,7.579813156,6.977445413,6.542809592,8.824876396,7.398663364,7.035881801,6.845413478
